clip,gap_length_x,condition_x,dyad,turn_num,turn_start_msec,video_num,laughter,Unnamed: 8,Unnamed: 9,subID,partnerID,timepoint,connection,connection_change,gap_length_y,speaker,condition_y
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,long_gap,63.0,0.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,long_gap,71.0,0.0,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,1_before,63.0,0.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,1_before,71.0,0.0,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,2_before,63.0,0.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,2_before,71.0,0.0,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,3_before,63.0,0.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,3_before,71.0,0.0,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,1_after,63.0,0.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,1_after,70.7,-0.2999999999999971,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,2_after,63.95,0.9500000000000028,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,2_after,46.05,-24.950000000000003,2388.0,other,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,103.0,101.0,3_after,65.0,2.0,2388.0,self,strangers
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,,101.0,103.0,3_after,43.0,-28.0,2388.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,long_gap,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,long_gap,76.0,0.0,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,1_before,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,1_before,76.0,0.0,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,2_before,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,2_before,76.0,0.0,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,3_before,74.35,-4.650000000000006,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,3_before,76.0,0.0,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,1_after,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,1_after,75.35,-0.6500000000000057,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,2_after,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,2_after,75.0,-1.0,2183.0,other,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,103.0,101.0,3_after,79.0,0.0,2183.0,self,strangers
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,,101.0,103.0,3_after,75.0,-1.0,2183.0,other,strangers
3_2612_103_101.mov,2612,strangers,103_101,113,388341,3,no,,,103.0,101.0,long_gap,82.15384615384616,0.0,2612.0,self,strangers
3_2612_103_101.mov,2612,strangers,103_101,113,388341,3,no,,,101.0,103.0,long_gap,68.42307692307692,0.0,2612.0,other,strangers
