subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,speaker,turn_num
103.0,101.0,103_101,long_gap,63.0,0.0,2388.0,self,56.0
101.0,103.0,103_101,long_gap,71.0,0.0,2388.0,other,56.0
103.0,101.0,103_101,1_before,63.0,0.0,2388.0,self,56.0
101.0,103.0,103_101,1_before,71.0,0.0,2388.0,other,56.0
103.0,101.0,103_101,2_before,63.0,0.0,2388.0,self,56.0
101.0,103.0,103_101,2_before,71.0,0.0,2388.0,other,56.0
103.0,101.0,103_101,3_before,63.0,0.0,2388.0,self,56.0
101.0,103.0,103_101,3_before,71.0,0.0,2388.0,other,56.0
103.0,101.0,103_101,1_after,63.0,0.0,2388.0,self,56.0
101.0,103.0,103_101,1_after,70.7,-0.29999999999999716,2388.0,other,56.0
103.0,101.0,103_101,2_after,63.95,0.9500000000000028,2388.0,self,56.0
101.0,103.0,103_101,2_after,46.05,-24.950000000000003,2388.0,other,56.0
103.0,101.0,103_101,3_after,65.0,2.0,2388.0,self,56.0
101.0,103.0,103_101,3_after,43.0,-28.0,2388.0,other,56.0
103.0,101.0,103_101,long_gap,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,long_gap,76.0,0.0,2183.0,other,97.0
103.0,101.0,103_101,1_before,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,1_before,76.0,0.0,2183.0,other,97.0
103.0,101.0,103_101,2_before,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,2_before,76.0,0.0,2183.0,other,97.0
103.0,101.0,103_101,3_before,74.35,-4.650000000000006,2183.0,self,97.0
101.0,103.0,103_101,3_before,76.0,0.0,2183.0,other,97.0
103.0,101.0,103_101,1_after,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,1_after,75.35,-0.6500000000000057,2183.0,other,97.0
103.0,101.0,103_101,2_after,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,2_after,75.0,-1.0,2183.0,other,97.0
103.0,101.0,103_101,3_after,79.0,0.0,2183.0,self,97.0
101.0,103.0,103_101,3_after,75.0,-1.0,2183.0,other,97.0
103.0,101.0,103_101,long_gap,82.15384615384616,0.0,2612.0,self,113.0
101.0,103.0,103_101,long_gap,68.42307692307692,0.0,2612.0,other,113.0
103.0,101.0,103_101,1_before,82.0,-0.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,1_before,76.0,7.57692307692308,2612.0,other,113.0
103.0,101.0,103_101,2_before,82.0,-0.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,2_before,76.0,7.57692307692308,2612.0,other,113.0
103.0,101.0,103_101,3_before,82.0,-0.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,3_before,77.85,9.426923076923075,2612.0,other,113.0
103.0,101.0,103_101,1_after,80.0,-2.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,1_after,51.9,-16.52307692307692,2612.0,other,113.0
103.0,101.0,103_101,2_after,80.0,-2.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,2_after,42.0,-26.42307692307692,2612.0,other,113.0
103.0,101.0,103_101,3_after,80.0,-2.1538461538461604,2612.0,self,113.0
101.0,103.0,103_101,3_after,42.0,-26.42307692307692,2612.0,other,113.0
103.0,101.0,103_101,long_gap,73.14814814814815,0.0,2747.0,other,140.0
101.0,103.0,103_101,long_gap,51.0,0.0,2747.0,self,140.0
103.0,101.0,103_101,1_before,68.0,-5.148148148148152,2747.0,other,140.0
101.0,103.0,103_101,1_before,51.0,0.0,2747.0,self,140.0
103.0,101.0,103_101,2_before,68.0,-5.148148148148152,2747.0,other,140.0
101.0,103.0,103_101,2_before,51.0,0.0,2747.0,self,140.0
103.0,101.0,103_101,3_before,68.0,-5.148148148148152,2747.0,other,140.0
101.0,103.0,103_101,3_before,49.95,-1.0499999999999972,2747.0,self,140.0
103.0,101.0,103_101,1_after,79.6,6.451851851851842,2747.0,other,140.0
101.0,103.0,103_101,1_after,51.85,0.8500000000000014,2747.0,self,140.0
103.0,101.0,103_101,2_after,81.35,8.201851851851842,2747.0,other,140.0
101.0,103.0,103_101,2_after,70.1,19.099999999999994,2747.0,self,140.0
103.0,101.0,103_101,3_after,80.7,7.5518518518518505,2747.0,other,140.0
101.0,103.0,103_101,3_after,75.0,24.0,2747.0,self,140.0
110.0,102.0,102_110,long_gap,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,long_gap,11.74074074074074,0.0,2693.0,other,10.0
110.0,102.0,102_110,1_before,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,1_before,10.6,-1.1407407407407408,2693.0,other,10.0
110.0,102.0,102_110,2_before,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,2_before,9.0,-2.7407407407407405,2693.0,other,10.0
110.0,102.0,102_110,3_before,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,3_before,9.0,-2.7407407407407405,2693.0,other,10.0
110.0,102.0,102_110,1_after,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,1_after,12.0,0.2592592592592595,2693.0,other,10.0
110.0,102.0,102_110,2_after,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,2_after,12.0,0.2592592592592595,2693.0,other,10.0
110.0,102.0,102_110,3_after,16.0,0.0,2693.0,self,10.0
102.0,110.0,102_110,3_after,21.45,9.709259259259259,2693.0,other,10.0
110.0,102.0,102_110,long_gap,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,long_gap,35.63636363636363,0.0,2205.0,self,25.0
110.0,102.0,102_110,1_before,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,1_before,35.0,-0.6363636363636331,2205.0,self,25.0
110.0,102.0,102_110,2_before,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,2_before,37.4,1.7636363636363654,2205.0,self,25.0
110.0,102.0,102_110,3_before,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,3_before,38.0,2.363636363636367,2205.0,self,25.0
110.0,102.0,102_110,1_after,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,1_after,36.0,0.36363636363636687,2205.0,self,25.0
110.0,102.0,102_110,2_after,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,2_after,36.0,0.36363636363636687,2205.0,self,25.0
110.0,102.0,102_110,3_after,16.0,0.0,2205.0,other,25.0
102.0,110.0,102_110,3_after,37.9,2.2636363636363654,2205.0,self,25.0
88.0,85.0,88_85,long_gap,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,long_gap,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,1_before,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,1_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,2_before,75.5,0.5,2217.0,other,27.0
85.0,88.0,88_85,2_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,3_before,75.65,0.6500000000000057,2217.0,other,27.0
85.0,88.0,88_85,3_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,1_after,75.0,0.0,2217.0,other,27.0
