convo,subID,partnerID,n_total,condition,n_long_500,freq_long_500,n_long_750,freq_long_750,n_long_1000,freq_long_1000,n_long_1250,freq_long_1250,n_long_1500,freq_long_1500,n_long_1750,freq_long_1750,n_long_2000,freq_long_2000,n_long_2250,freq_long_2250,n_long_2500,freq_long_2500,n_long_2750,freq_long_2750,n_long_3000,freq_long_3000
103_101,103,101,168.0,strangers_pure,57.0,0.3392857142857143,29.0,0.17261904761904762,18.0,0.10714285714285714,13.0,0.07738095238095238,5.0,0.02976190476190476,4.0,0.023809523809523808,4.0,0.023809523809523808,3.0,0.017857142857142856,2.0,0.011904761904761904,0.0,0.0,0.0,0.0
103_101,101,103,168.0,strangers_pure,57.0,0.3392857142857143,29.0,0.17261904761904762,18.0,0.10714285714285714,13.0,0.07738095238095238,5.0,0.02976190476190476,4.0,0.023809523809523808,4.0,0.023809523809523808,3.0,0.017857142857142856,2.0,0.011904761904761904,0.0,0.0,0.0,0.0
24_25,24,25,128.0,strangers_pure,44.0,0.34375,16.0,0.125,6.0,0.046875,1.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_25,25,24,128.0,strangers_pure,44.0,0.34375,16.0,0.125,6.0,0.046875,1.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_6,4,6,94.0,strangers_pure,16.0,0.1702127659574468,8.0,0.0851063829787234,1.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4_6,6,4,94.0,strangers_pure,16.0,0.1702127659574468,8.0,0.0851063829787234,1.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_110,102,110,201.0,strangers_pure,60.0,0.29850746268656714,24.0,0.11940298507462686,16.0,0.07960199004975124,6.0,0.029850746268656716,3.0,0.014925373134328358,2.0,0.009950248756218905,2.0,0.009950248756218905,1.0,0.004975124378109453,1.0,0.004975124378109453,0.0,0.0,0.0,0.0
102_110,110,102,201.0,strangers_pure,60.0,0.29850746268656714,24.0,0.11940298507462686,16.0,0.07960199004975124,6.0,0.029850746268656716,3.0,0.014925373134328358,2.0,0.009950248756218905,2.0,0.009950248756218905,1.0,0.004975124378109453,1.0,0.004975124378109453,0.0,0.0,0.0,0.0
44_48,44,48,133.0,strangers_pure,28.0,0.21052631578947367,10.0,0.07518796992481203,6.0,0.045112781954887216,4.0,0.03007518796992481,1.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44_48,48,44,133.0,strangers_pure,28.0,0.21052631578947367,10.0,0.07518796992481203,6.0,0.045112781954887216,4.0,0.03007518796992481,1.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_109,107,109,102.0,strangers_pure,13.0,0.12745098039215685,6.0,0.058823529411764705,4.0,0.0392156862745098,3.0,0.029411764705882353,1.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_109,109,107,102.0,strangers_pure,13.0,0.12745098039215685,6.0,0.058823529411764705,4.0,0.0392156862745098,3.0,0.029411764705882353,1.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_29,21,29,140.0,strangers_pure,16.0,0.11428571428571428,7.0,0.05,2.0,0.014285714285714285,1.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21_29,29,21,140.0,strangers_pure,16.0,0.11428571428571428,7.0,0.05,2.0,0.014285714285714285,1.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60_61,60,61,123.0,strangers_pure,28.0,0.22764227642276422,11.0,0.08943089430894309,5.0,0.04065040650406504,1.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
