clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
1_2388_103_101.mov,2388,strangers,103_101,56,131574,1,no,,
2_2183_103_101.mov,2183,strangers,103_101,97,317519,2,no,,
3_2612_103_101.mov,2612,strangers,103_101,113,388341,3,no,,
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,
14_2399_6_7.mov,2399,strangers,6_7,76,177828,14,no,,
15_3003_6_7.mov,3003,strangers,6_7,96,268135,15,no,,
16_4523_6_7.mov,4523,strangers,6_7,112,360285,16,no,,
17_2388_6_7.mov,2388,strangers,6_7,122,384885,17,no,,
18_2066_60_62.mov,2066,strangers,60_62,51,159745,18,no,,
19_3082_60_62.mov,3082,strangers,60_62,63,225904,19,no,,
20_2133_60_62.mov,2133,strangers,60_62,106,438590,20,no,,
21_2415_88_87.mov,2415,strangers,88_87,46,206014,21,no,,
22_2459_88_87.mov,2459,strangers,88_87,78,375151,22,yes,,
23_2057_41_46.mov,2057,strangers,41_46,94,372813,23,no,,
24_3849_41_46.mov,3849,strangers,41_46,119,528791,24,no,,
25_2127_60_63.mov,2127,strangers,60_63,36,203091,25,no,,
26_2555_102_106.mov,2555,strangers,102_106,50,144955,26,no,,
27_2174_102_106.mov,2174,strangers,102_106,67,182651,27,no,,
28_2303_102_106.mov,2303,strangers,102_106,77,218151,28,no,,
29_2094_102_106.mov,2094,strangers,102_106,127,385553,29,no,,
30_3457_102_106.mov,3457,strangers,102_106,129,398110,30,no,,
31_2390_102_106.mov,2390,strangers,102_106,130,402965,31,no,,
32_2122_102_106.mov,2122,strangers,102_106,139,419467,32,no,,
33_3199_102_106.mov,3199,strangers,102_106,168,530141,33,no,,
34_2066_24_23.mov,2066,strangers,24_23,107,540859,34,no,,
35_2343_70_62.mov,2343,strangers,70_62,19,38078,35,no,,
36_2029_70_62.mov,2029,strangers,70_62,36,129189,36,no,,
37_2805_70_62.mov,2805,strangers,70_62,101,497661,37,no,,
38_2266_26_27.mov,2266,strangers,26_27,20,34454,38,no,,
39_2170_26_27.mov,2170,strangers,26_27,53,158080,39,no,,
40_3310_26_27.mov,3310,strangers,26_27,62,194771,40,no,,
41_2074_26_27.mov,2074,strangers,26_27,95,327408,41,no,,
42_2077_26_27.mov,2077,strangers,26_27,154,574467,42,no,,
43_2706_28_22.mov,2706,strangers,28_22,16,63787,43,no,,
44_2837_43_46.mov,2837,strangers,43_46,66,180134,44,no,,
45_2028_43_46.mov,2028,strangers,43_46,118,396855,45,no,,
46_2093_102_103.mov,2093,strangers,102_103,28,76932,46,no,,
